Model,Depth,N Estimators,Accuracy,Confusion Matrix,ROC Curve,ROC AUC
RandomForest,39,240,0.8408786267133653,"[[ 2376  3347]
 [  333 17071]]","(array([0.        , 0.        , 0.        , ..., 0.99231172, 0.99248646,
       1.        ]), array([0.        , 0.0017812 , 0.00195357, ..., 1.        , 1.        ,
       1.        ]))",0.8189833855760221
XGBoost,28,102,0.8463268041682881,"[[ 2840  2883]
 [  671 16733]]","(array([0.        , 0.        , 0.        , ..., 0.9984274 , 0.99877687,
       1.        ]), array([0.00000000e+00, 5.74580556e-05, 4.59664445e-04, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]))",0.8027113505673098
LightGBM,35,300,0.8148052060362347,"[[ 1942  3781]
 [  502 16902]]","(array([0.        , 0.        , 0.        , ..., 0.99930107, 0.99965053,
       1.        ]), array([0.00000000e+00, 5.74580556e-05, 3.44748334e-04, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]))",0.7592543362007276
CatBoost,12,300,0.8411813032386388,"[[ 2629  3094]
 [  579 16825]]","(array([0.        , 0.        , 0.        , ..., 0.99598113, 0.99720426,
       1.        ]), array([0.00000000e+00, 1.14916111e-04, 6.32038612e-04, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]))",0.785276274355017
